Stock1,Stock2
2180.05,1096.08
2211.69,1102.47
2237.66,1114.05
2252.67,1118.02
2269.64,1120.59
2285.69,1126.48
2291.08,1127.78
2288.4,1126.2
2291.28,1126.42
2269.15,1115.1
2308.42,1132.99
2308.71,1136.52
2301.09,1137.14
2300.05,1141.69
2317.17,1144.98
2312.41,1146.98
2282.31,1136.22
2307.9,1145.68
2316.74,1148.46
2287.99,1136.03
2320.4,1150.23
2291.25,1138.04
2265.7,1116.48
2205.29,1091.76
2210.8,1096.78
2203.73,1092.17
2221.41,1097.5
2179,1084.53
2147.35,1073.87
2171.2,1089.19
2190.06,1103.32
2190.91,1097.28
2125.43,1063.11
2141.12,1066.19
2126.05,1056.74
2150.87,1070.52
2147.87,1068.13
2177.41,1078.47
2183.53,1075.51
2214.19,1094.87
2226.29,1099.51
2241.71,1106.75
2243.87,1109.17
2242.03,1108.01
2213.44,1094.6
2235.9,1105.24
2234.22,1102.94
2238.26,1104.49
2273.57,1115.71
2280.79,1118.31
2280.68,1118.79
2292.31,1122.97
2326.35,1138.7
2332.21,1138.5
2340.68,1140.45
2358.95,1145.61
2368.46,1150.24
2367.66,1149.99
2362.21,1150.51
2378.01,1159.46
2389.09,1166.21
2391.28,1165.83
2374.41,1159.9
2395.4,1165.81
2415.24,1174.17
2398.76,1167.72
2397.41,1165.73
2395.13,1166.59
2404.36,1173.22
2410.69,1173.27
2397.96,1169.43
2402.58,1178.1
2429.53,1187.44
2436.81,1189.44
2431.16,1182.45
2436.81,1186.44
2454.05,1194.37
2457.87,1196.48
2465.99,1197.3
2504.86,1210.65
2515.69,1211.67
2481.26,1192.13
2480.11,1197.52
2500.31,1207.17
2504.61,1205.94
2519.07,1208.67
2530.15,1217.28
2522.95,1212.05
2471.47,1183.71
2471.73,1191.36
2511.92,1206.78
2461.19,1186.69
2498.74,1202.26
2424.25,1173.6
2402.29,1165.9
2319.64,1128.15
2265.64,1110.88
2374.67,1159.73
2375.31,1155.79
2425.02,1171.67
2394.36,1157.44
2346.85,1135.68
2354.23,1136.94
2317.26,1120.8
2298.37,1115.05
2204.01,1071.59
2229.04,1087.69
2213.55,1073.65
2210.95,1074.03
2195.88,1067.95
2277.68,1103.06
2257.04,1089.41
2222.33,1070.71
2281.07,1098.38
2303.03,1102.83
2219.17,1064.88
2173.9,1050.47
2170.57,1062
2158.85,1055.69
2218.71,1086.84
2243.6,1091.6
2243.96,1089.63
2305.88,1115.23
2305.93,1114.61
2307.16,1116.04
2309.8,1117.51
2289.09,1113.2
2261.8,1095.31
2254.23,1092.04
2217.42,1073.69
2223.48,1076.76
2220.65,1074.57
2135.18,1041.24
2109.24,1030.71
2101.36,1027.37
2091.79,1022.58
2093.88,1028.06
2159.47,1060.27
2175.4,1070.25
2196.45,1077.96
2198.36,1078.75
2242.03,1095.34
2249.84,1095.17
2249.08,1096.48
2179.05,1064.88
2198.23,1071.25
2222.49,1083.48
2187.33,1069.59
2245.89,1093.67
2269.47,1102.66
2296.43,1115.01
2288.25,1113.84
2264.56,1106.13
2251.69,1101.53
2254.7,1101.6
2295.36,1125.86
2283.52,1120.46
2303.57,1127.24
